#SampleID	Year	Type
MOCH-2023-1	2023	Sample
MOCH-2023-2	2023	Sample
MOCH-2023-3	2023	Sample
MOCH-2023-4	2023	Sample
MOCH-2023-5	2023	Sample
MOCH-2023-6	2023	Sample
MOCH-2023-7	2023	Sample
MOCH-2023-8	2023	Sample
MOCH-2023-9	2023	Sample
MOCH-2023-10	2023	Sample
MOCH-2023-11	2023	Sample
MOCH-2023-12	2023	Sample
MOCH-2023-13	2023	Sample
MOCH-2023-14	2023	Sample
MOCH-2023-15	2023	Sample
MOCH-2023-16	2023	Sample
MOCH-2023-17	2023	Sample
MOCH-2023-18	2023	Sample
MOCH-2023-19	2023	Sample
MOCH-2023-20	2023	Sample
MOCH-2023-21	2023	Sample
MOCH-2023-22	2023	Sample
MOCH-2023-23	2023	Sample
MOCH-2023-24	2023	Sample
MOCH-2023-25	2023	Sample
MOCH-2023-26	2023	Sample
MOCH-2023-27	2023	Sample
MOCH-2023-28	2023	Sample
MOCH-2023-29	2023	Sample
MOCH-2023-30	2023	Sample
MOCH-2023-31	2023	Sample
MOCH-2023-32	2023	Sample
MOCH-2023-33	2023	Sample
MOCH-2023-34	2023	Sample
MOCH-2023-35	2023	Sample
MOCH-2023-36	2023	Sample
MOCH-2023-37	2023	Sample
MOCH-2023-38	2023	Sample
MOCH-2023-39	2023	Sample
MOCH-2023-40	2023	Sample
MOCH-2023-41	2023	Sample
MOCH-2023-42	2023	Sample
MOCH-2023-44	2023	Sample
MOCH-2023-45	2023	Sample
MOCH-2023-46	2023	Sample
MOCH-2023-47	2023	Sample
MOCH-2023-48	2023	Sample
MOCH-2023-49	2023	Sample
MOCH-2023-50	2023	Sample
MOCH-2023-51	2023	Sample
MOCH-2023-52	2023	Sample
MOCH-2023-53	2023	Sample
MOCH-2023-54	2023	Sample
MOCH-2023-55	2023	Sample
MOCH-2023-56	2023	Sample
MOCH-2023-58	2023	Sample
MOCH-2023-59	2023	Sample
MOCH-2023-60	2023	Sample
MOCH-2023-61	2023	Sample
MOCH-2023-63	2023	Sample
MOCH-2023-64	2023	Sample
MOCH-2023-65	2023	Sample
MOCH-2023-66	2023	Sample
MOCH-2023-67	2023	Sample
MOCH-2023-68	2023	Sample
MOCH-2023-69	2023	Sample
MOCH-2023-70	2023	Sample
MOCH-2023-71	2023	Sample
MOCH-2023-73	2023	Sample
MOCH-2023-74	2023	Sample
MOCH-2023-75	2023	Sample
MOCH-2023-76	2023	Sample
MOCH-2023-77	2023	Sample
MOCH-2023-78	2023	Sample
MOCH-2023-79	2023	Sample
MOCH-2023-80	2023	Sample
MOCH-2023-81	2023	Sample
MOCH-2023-82	2023	Sample
MOCH-2023-83	2023	Sample
MOCH-2023-84	2023	Sample
MOCH-2023-85	2023	Sample
MOCH-2023-86	2023	Sample
MOCH-2023-87	2023	Sample
MOCH-2023-88	2023	Sample
MOCH-2023-90	2023	Sample
MOCH-2023-91	2023	Sample
MOCH-2023-93	2023	Sample
MOCH-2023-95	2023	Sample
MOCH-2023-96	2023	Sample
MOCH-2023-98	2023	Sample
MOCH-2023-101	2023	Sample
MOCH-2023-102	2023	Sample
MOCH-2023-103	2023	Sample
MOCH-2023-104	2023	Sample
MOCH-2023-105	2023	Sample
MOCH-2023-106	2023	Sample
MOCH-2023-107	2023	Sample
MOCH-2023-108	2023	Sample
MOCH-2023-111	2023	Sample
MOCH-2023-112	2023	Sample
MOCH-2023-113	2023	Sample
MOCH-2023-114	2023	Sample
MOCH-2023-115	2023	Sample
MOCH-2023-116	2023	Sample
MOCH-2023-117	2023	Sample
MOCH-2023-118	2023	Sample
MOCH-2023-119	2023	Sample
MOCH-2023-120	2023	Sample
MOCH-2023-121	2023	Sample
MOCH-2023-122	2023	Sample
BLANK-MOCH1-1	2023	EXTBLANK
BLANK-MOCH1-2	2023	EXTBLANK
BLANK-MOCH1-3	2023	EXTBLANK
BLANK-MOCH1-4	2023	EXTBLANK
BLANK-MOCH2-1	2023	EXTBLANK
MOCK-MOCH1	2023	MOCK
MOCK-MOCH2	2023	MOCK
PCR-BLANK-1	2023	PCRBLANK
MOCH-2023-43	2023	Question
MOCH-2023-57	2023	Question
MOCH-2023-62	2023	Question
