#SampleID	Plate	Type	Year	Species
#q2:types	Categorical	Categorical	Categorical	Categorical
MOCH-1-BLANK-1	1	EXTBLANK		EXTBLANK
MOCH-1-BLANK-2	1	EXTBLANK		EXTBLANK
MOCH-1-BLANK-3	1	EXTBLANK		EXTBLANK
MOCH-1-BLANK-4	1	EXTBLANK		EXTBLANK
MOCH-1-MOCK	1	MOCK		MOCK
MOCH-2024-1	1	SAMPLE	2024	MOCH
MOCH-2024-10	1	SAMPLE	2024	MOCH
MOCH-2024-11	1	SAMPLE	2024	MOCH
MOCH-2024-12	1	SAMPLE	2024	MOCH
MOCH-2024-13	1	SAMPLE	2024	MOCH
MOCH-2024-14	1	SAMPLE	2024	MOCH
MOCH-2024-15	1	SAMPLE	2024	MOCH
MOCH-2024-16	1	SAMPLE	2024	MOCH
MOCH-2024-2	1	SAMPLE	2024	MOCH
MOCH-2024-215C	1	SAMPLE	2024	MOCH
MOCH-2024-223C	1	SAMPLE	2024	MOCH
MOCH-2024-23	1	SAMPLE	2024	MOCH
MOCH-2024-230C	1	SAMPLE	2024	MOCH
MOCH-2024-234C	1	SAMPLE	2024	MOCH
MOCH-2024-24	1	SAMPLE	2024	MOCH
MOCH-2024-242C	1	SAMPLE	2024	MOCH
MOCH-2024-25	1	SAMPLE	2024	MOCH
MOCH-2024-254C	1	SAMPLE	2024	MOCH
MOCH-2024-255C	1	SAMPLE	2024	MOCH
MOCH-2024-256C	1	SAMPLE	2024	MOCH
MOCH-2024-257C	1	SAMPLE	2024	MOCH
MOCH-2024-258C	1	SAMPLE	2024	MOCH
MOCH-2024-26	1	SAMPLE	2024	MOCH
MOCH-2024-262C	1	SAMPLE	2024	MOCH
MOCH-2024-263C	1	SAMPLE	2024	MOCH
MOCH-2024-28	1	SAMPLE	2024	MOCH
MOCH-2024-284C	1	SAMPLE	2024	MOCH
MOCH-2024-289C	1	SAMPLE	2024	MOCH
MOCH-2024-292C	1	SAMPLE	2024	MOCH
MOCH-2024-294C	1	SAMPLE	2024	MOCH
MOCH-2024-299C	1	SAMPLE	2024	MOCH
MOCH-2024-3	1	SAMPLE	2024	MOCH
MOCH-2024-30	1	SAMPLE	2024	MOCH
MOCH-2024-312C	1	SAMPLE	2024	MOCH
MOCH-2024-32	1	SAMPLE	2024	MOCH
